group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind
7,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Integrated,Pattern-graded requirement,,,,Integrated requires A and B to declare this.,Missing,INTENDED
7,Communication Mechanism Mismatch,communication_mechanism,Integrated,Pattern-graded requirement,,,,Integrated requires both sides to declare mechanism.,Missing,INTENDED
7,Conceptual Quality Gap,Authors’ Unique Identifier,Integrated,Pattern-agnostic,karsten bolding; developer,arie b.g. janssen; ecological model development,,Both provide metadata.,Match,INTENDED
7,Conceptual Quality Gap,Calibration Tools/Data,Integrated,Pattern-agnostic,"temperature, salinity profiles","biological monitoring data, nutrient input records",,Both provide metadata.,Match,INTENDED
7,Conceptual Quality Gap,Conceptual Model Evaluation,Integrated,Pattern-agnostic,"widely validated for estuarine, coastal systems",well-established with peer-reviewed validations,,Both provide metadata.,Match,INTENDED
7,Conceptual Quality Gap,Links to Publications & Reports,Integrated,Pattern-agnostic,"burchard et al., 1999; bruggeman, bolding, 2014","janssen et al., 2019",,Both provide metadata.,Match,INTENDED
7,Conceptual Quality Gap,Sensitivity Analysis,Integrated,Pattern-agnostic,available through configuration scenarios,"manual, automated tools available",,Both provide metadata.,Match,INTENDED
7,Conceptual Quality Gap,Uncertainty Analysis,Integrated,Pattern-agnostic,scenario testing,"scenario, ensemble runs",,Both provide metadata.,Match,INTENDED
7,Conceptual Quality Gap,Validation Capabilities,Integrated,Pattern-agnostic,profile comparisons to physical observations,validated on multiple lakes worldwide,,Both provide metadata.,Match,INTENDED
7,Data Schema Mismatch,(A or B).input vs AB.input,Integrated,(A or B).input ↔ AB.input (similarity>0),A.in:meteorological forcing wind; air temperature; radiation; initial temperature; salinity profiles; heat flux feedback q_bio; surface albedo / wind-drag modifiers; meteorological forcing; initial hydrodynamic conditions; additionally receives ecological feedback variables from fabm submodels. | B.in:temperature profile t; turbulent mixing coefficients kz; scalar irradiance / par; salinity profile if relevant; physical; chemical drivers provided by gotm via fabm interface; physical hydrodynamic; optical drivers from gotm,,(none),max=0.00 | missing: AB.input,Missing,INTENDED
7,Data Schema Mismatch,(A or B).output vs AB.output,Integrated,(A or B).output ↔ AB.output (similarity>0),A.out:temperature profile t; salinity profile; turbulent mixing coefficients kz; scalar irradiance / par | B.out:nutrient concentrations n; p; si; phytoplankton biomass; macrophyte biomass; zooplankton biomass; oxygen concentration; bio-optical properties kd_bio; heat production due to light absorption q_bio; surface albedo / drag modifiers,,(none),max=0.00 | missing: AB.output,Missing,INTENDED
7,Data Schema Mismatch,Direction (any),Integrated,A.output ↔ B.input OR B.output ↔ A.input (≥1),A.out:temperature profile t; salinity profile; turbulent mixing coefficients kz; scalar irradiance / par,B.out:nutrient concentrations n; p; si; phytoplankton biomass; macrophyte biomass; zooplankton biomass; oxygen concentration; bio-optical properties kd_bio; heat production due to light absorption q_bio; surface albedo / drag modifiers,,A2B:✓; B2A:✓,Match,INTENDED
7,Data Synchronization,data_synchronization,Integrated,Pattern-graded requirement,"two-way, provides physical drivers, receives ecological feedbacks","receives gotm drivers, returns bio-feedbacks to gotm",,Integrated expects explicit synchronous/lockstep cues.,Mismatch,INTENDED
7,Dimensionality Mismatch,dimensionality,Integrated,Common exchanged variables align semantically,1d,1d,,A↔B token-sim=1.00 (>0 ⇒ aligned),Match,INTENDED
7,Distribution Version Mismatch,distribution_version,Integrated,Exact equality required,5.0,2023.1,,Not equal.,Mismatch,INTENDED
7,Error Handling Mismatch,error_handling,Integrated,Pattern-graded requirement,"error trapping, timestep control","input checking, diagnostics via fabm",,A and B present; AB not provided.,Match,INTENDED
7,Execution Constraint Mismatch,execution_constraints,Integrated,Pattern-graded requirement,"time step, vertical grid synchronized with fabm plugins","time step, grid must match gotm, physical drivers updated each coupling step",,Integrated expects explicit sync/latency cues.,Mismatch,INTENDED
7,Execution Instruction Gap,execution_instructions,Integrated,Require both sides,"configure through yaml / nml files, run via cli","configured as an fabm plugin, receives physical state from host hydrodynamic model e.g., gotm",,Both A and B must provide.,Match,INTENDED
7,File Format Mismatch,file_formats,Integrated,Presence required,,,,Neither provides metadata.,Missing,INTENDED
7,Hardware Resource Mismatch,hardware_specification_and_requirements,Integrated,Pattern-graded similarity/equality,standard workstation,standard workstation,,A↔B token-sim=1.00 (> 0.50),Match,INTENDED
7,Implementation Verification Gap,implementation_verification (A),Integrated,Presence required,benchmarked with standard gotm cases; benchmarked against canonical gotm-fabm cases,,,A provides metadata,Match,INTENDED
7,Implementation Verification Gap,implementation_verification (B),Integrated,Presence required,tested within fabm test cases; validated against long-term lake monitoring datasets,,,B provides metadata,Match,INTENDED
7,Landing Page Gap,landing_page (A),Integrated,Presence required,"https, / / gotm.net",,,A provides landing page,Match,INTENDED
7,Landing Page Gap,landing_page (B),Integrated,Presence required,"https, / / github.com / fabm-model / fabm",,,B provides landing page,Match,INTENDED
7,Latency Expectation Mismatch,latency_expectations,Integrated,Pattern-graded requirement,online synchronous exchange each time step,,,Integrated requires A and B to declare this.,Missing,INTENDED
7,License Incompatibility,license,Integrated,Pattern-graded requirement,gpl,gpl,,A↔B token-sim=1.00 (> 0.50),Match,INTENDED
7,Parallel Execution Incompatibility,parallel_execution,Integrated,Pattern-graded requirement,false,false,,Both sides present.,Match,INTENDED
7,Programming Language Incompatibility,programming_language,Integrated,Pattern-graded similarity/equality,fortran,fortran; c++,,A↔B token-sim=0.50 (> 0.50),Mismatch,INTENDED
7,Semantic Mismatch,Assumptions,Integrated,Coverage vs AB,"horizontal homogeneity; turbulence driven by wind, buoyancy, bottom shear; 1d vertical structure","ecology responds to physical drivers light, mixing, temperature; trophic groups, sediment modeled mechanistically; no horizontal heterogeneity",,AB value missing.,Missing,INTENDED
7,Semantic Mismatch,Description,Integrated,Coverage threshold ≥ 0.50,"a 1d water column hydrodynamic model simulating vertical mixing, turbulence, hydrodynamics, providing physical driver fields for coupled biogeochemical models via fabm, receiving ecological feedback variables e.g., light attenuation, heat flux from fabm submodels such as pclake+.; meteorological forcing, initial hydrodynamic conditions, additionally receives ecological feedback variables from fabm submodels.","a process-based biogeochemical lake ecosystem model simulating nutrient cycling, primary production, oxygen dynamics, sediment-water interactions, implemented within the framework for aquatic biogeochemical models fabm for coupling with host hydrodynamic models such as gotm.; physical, chemical drivers provided by gotm via fabm interface; physical hydrodynamic, optical drivers from gotm","a placeholder structure for developing a modular aquatic modeling system using gotm for hydrodynamics, a biogeochemical model such as pclake through fabm. intended to simulate ecosystem responses to physical drivers in lakes or coastal waters.","A→AB:0.26 (covered: biogeochemical, fabm, hydrodynamics, pclake, physical, such) | B→AB:0.35 (covered: aquatic, biogeochemical, drivers, ecosystem, fabm, gotm, physical, such) | A∪B→AB:0.43 (covered: aquatic, biogeochemical, drivers, ecosystem, fabm, gotm, hydrodynamics, pclake, physical, such) | uncovered_AB: coastal, developing, lakes, modeling, modular, placeholder, responses, simulate, structure, system, through, using, waters",Mismatch,INTENDED
7,Semantic Mismatch,Keywords,Integrated,Coverage threshold ≥ 0.50,hydrodynamic model; turbulence; vertical mixing; marine systems; lake modeling; fabm coupling,nutrient cycling; ecological modeling; lake ecosystems; pclake+; fabm,lake modeling; modular frameworks; fabm; hydrodynamic-ecological integration,"A→AB:0.50 (covered: fabm, hydrodynamic, lake, modeling) | B→AB:0.50 (covered: ecological, fabm, lake, modeling) | A∪B→AB:0.62 (covered: ecological, fabm, hydrodynamic, lake, modeling) | uncovered_AB: frameworks, integration, modular",Match,INTENDED
7,Semantic Mismatch,Model Type,Integrated,Coverage vs AB,mechanistic,mechanistic,,AB value missing.,Missing,INTENDED
7,Semantic Mismatch,Model Version,Integrated,Coverage vs AB,5.0,2023.1; 5.0,,AB value missing.,Missing,INTENDED
7,Semantic Mismatch,Purpose & Pattern,Integrated,Coverage threshold ≥ 0.50,"simulate vertical transport, mixing in marine, freshwater systems; layered turbulence closure with online ecological coupling via fabm; tool coupling via fabm","simulate ecological dynamics in response to nutrient inputs, physical mixing, climate drivers; fabm plugin with ecological processes driven by hydrodynamic state variables","design, test modular integrations for aquatic ecosystem modeling; modular online coupling via fabm or similar interface; integrated coupling","A→AB:0.29 (covered: coupling, fabm, online, via) | B→AB:0.07 (covered: fabm) | A∪B→AB:0.29 (covered: coupling, fabm, online, via) | uncovered_AB: aquatic, design, ecosystem, integrated, integrations, interface, modeling, modular, similar, test",Mismatch,INTENDED
7,Semantic Mismatch,Scope,Integrated,Coverage vs AB,1d vertical hydrodynamics in aquatic systems,"shallow, stratified lakes",,AB value missing.,Missing,INTENDED
7,Semantic Mismatch,Title,Integrated,Coverage threshold ≥ 0.50,general ocean turbulence model gotm; karsten bolding,pclake+ integrated via fabm; arie b.g. janssen,intended modular lake modeling framework,"A→AB:0.00 (covered: —) | B→AB:0.00 (covered: —) | A∪B→AB:0.00 (covered: —) | uncovered_AB: lake, modeling, modular",Mismatch,INTENDED
7,Software Environment Mismatch,software_specification_and_requirements,Integrated,Pattern-graded similarity/equality,"netcdf, fortran compiler",fabm environment,,A↔B token-sim=0.00 (> 0.50),Mismatch,INTENDED
7,Source Code Availability Gap,availability_of_source_code (A),Integrated,Presence required,,,,A provides metadata,Missing,INTENDED
7,Source Code Availability Gap,availability_of_source_code (B),Integrated,Presence required,,,,B provides metadata,Missing,INTENDED
7,Spatial Coverage Mismatch,spatial_extent_coverage,Integrated,Common exchanged variables align semantically,water column,lake water column,,A↔B token-sim=0.67 (>0 ⇒ aligned),Match,INTENDED
7,Spatial Resolution Mismatch,spatial_resolution,Integrated,Common exchanged variables align semantically,adaptive vertical layers,matches hydrodynamic vertical grid,,A↔B token-sim=0.17 (>0 ⇒ aligned),Match,INTENDED
7,Temporal Coverage Mismatch,temporal_extent_coverage,Integrated,Common exchanged variables align semantically,multi-year,decadal,,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTENDED
7,Temporal Resolution Mismatch,time_steps_temporal_resolution,Integrated,Common exchanged variables align semantically,hourly,daily driven by hourly hydrodynamic forcing,,A↔B token-sim=0.20 (>0 ⇒ aligned),Match,INTENDED
