group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind
8,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Loose,Pattern-graded requirement,,,,Loose requires at least one side (or AB) to declare this.,Missing,INTEGRATED
8,Communication Mechanism Mismatch,communication_mechanism,Loose,Pattern-graded requirement,,,,Both sides or AB canonical interface required.,Missing,INTEGRATED
8,Data Schema Mismatch,(A or B).input vs AB.input,Loose,(A or B).input ↔ AB.input (similarity>0),A.in:bathymetry; initial t / s fields; surface forcing winds; heat; freshwater flux; initial; boundary conditions for ocean state variables; optionally; biogeochemical feedback fields from planktom10.; biogeochemical feedbacks influencing physical light climate or fluxes | B.in:temperature t; salinity s; 3d velocities u; v; w; mixed layer depth mld; shortwave radiation at depth; sea ice cover / thickness; physical ocean state variables from nemo; physical drivers for biogeochemistry,,(none),max=0.00 | missing: AB.input,Missing,INTEGRATED
8,Distribution Version Mismatch,distribution_version,Loose,Pattern-graded similarity/equality,v3.3,2010,v3.3,A↔B token-sim=0.00 (> 0.00),Mismatch,INTEGRATED
8,File Format Mismatch,file_formats,Loose,Presence required,,,,Neither provides metadata.,Missing,INTEGRATED
8,Hardware Resource Mismatch,hardware_specification_and_requirements,Loose,Pattern-graded similarity/equality,hpc system,same as nemo,hpc recommended for global runs,A↔B token-sim=0.00 (> 0.00),Mismatch,INTEGRATED
8,Semantic Mismatch,Assumptions,Loose,Coverage threshold ≥ 0.50,"hydrostatic, boussinesq approximations; finite-difference discretization; fixed bathymetry","stoichiometric phytoplankton growth; temperature, light-dependent production rates; multiple plankton functional types","dynamic tracer exchange; dms production is influenced by plankton, light; no feedback from atmosphere modeled in this setup","A→AB:0.00 (covered: —) | B→AB:0.21 (covered: light, plankton, production) | A∪B→AB:0.21 (covered: light, plankton, production) | uncovered_AB: atmosphere, dms, dynamic, feedback, influenced, is, modeled, no, setup, this, tracer",Mismatch,INTEGRATED
8,Semantic Mismatch,Model Version,Loose,A or B must equal AB exactly,v3.3; 2010,2010; v3.3,v3.3,A==AB:×; B==AB:×,Mismatch,INTEGRATED
8,Software Environment Mismatch,software_specification_and_requirements,Loose,Pattern-graded similarity/equality,"netcdf, mpi, fortran compiler",runs within nemo framework,nemo compiled with planktom10 tracer package,A↔B token-sim=0.00 (> 0.00),Mismatch,INTEGRATED
8,Source Code Availability Gap,availability_of_source_code (A),Loose,Presence required,,,,A provides metadata,Missing,INTEGRATED
8,Spatial Coverage Mismatch,spatial_extent_coverage,Loose,Common exchanged variables align semantically,global ocean,ocean water column,global ocean,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTEGRATED
8,Spatial Resolution Mismatch,spatial_resolution,Loose,Common exchanged variables align semantically,1 / 2° to 1 / 12°,same as host model nemo,"shared grid from nemo e.g., 1° or 1 / 4°",A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTEGRATED
8,Temporal Coverage Mismatch,temporal_extent_coverage,Loose,Common exchanged variables align semantically,multi-decadal,multi-year,multi-year,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTEGRATED
